time,msenconds,signal,signal_copy
00:03:24.509468,28.605,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:24.610212,28.706,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:24.710388,28.806,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:24.811323,28.907,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:24.910769,29.007,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:25.009879,29.106,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:25.110722,29.207,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:25.211004,29.307,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:25.311360,29.407,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
00:03:25.411707,29.508,CdcBokgChrgSts:Not req,"CdcBokgChrgSts
Not req"
